season,week,game_type,date,time_et,neutral,away,home,score_diff,winner,team_winner,first_downs,passing_first_downs,rushing_first_downs,penalty_first_downs,third_down_completion,third_down_att,fourth_down_comp,fourth_down_att,plays,drives,yards,pass_comp,pass_att,pass_yards,sacks,sack_yards,rush_att,rush_yards,penalties,penalty_yards,redzone_comp,redzone_att,fumbles,interceptions,def_st_td
2006,1,Regular,9/7/06,8:30 PM,FALSE,Dolphins,Steelers,11,home,Steelers,5,-1,3,3,2,2,1,0,8,1,64,-3,-12,-44,0,-9,20,108,-5,-53,-1,-1,1,-2,2
2006,1,Regular,9/10/06,1:00 PM,FALSE,Eagles,Texans,-14,away,Eagles,-5,-8,0,3,-5,-2,1,2,-14,1,-200,-6,-8,-140,4,34,-10,-60,-2,-31,-1,0,0,-1,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Falcons,Panthers,-14,away,Falcons,-9,2,-10,-1,-2,-1,0,1,-11,0,-170,11,17,17,3,29,-31,-187,6,25,-1,-3,1,1,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Bills,Patriots,2,home,Patriots,7,1,6,0,2,2,2,1,17,3,79,-4,0,-5,0,4,17,84,-6,-48,1,1,1,1,-2
2006,1,Regular,9/10/06,1:00 PM,FALSE,Broncos,Rams,8,home,Rams,-1,2,-3,0,-2,3,-1,-1,10,2,61,5,8,97,-1,-18,3,-36,6,64,-1,4,-2,-3,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Ravens,Buccaneers,-27,away,Ravens,-8,-4,-2,-2,-2,-2,0,1,-12,-1,-129,1,7,-52,2,8,-21,-77,-1,-4,-2,-2,0,3,-2
2006,1,Regular,9/10/06,1:00 PM,FALSE,Jets,Titans,-7,away,Jets,-2,-2,3,-3,1,0,1,2,0,0,-65,-4,9,-60,0,-9,-9,-5,0,17,-1,-3,-2,3,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Seahawks,Lions,-3,away,Seahawks,-2,-2,-1,1,3,3,0,0,-4,-3,-13,-4,7,40,-2,-21,-9,-53,-1,6,0,0,0,0,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Saints,Browns,-5,away,Saints,-2,-6,1,3,-4,-6,0,-1,-17,-1,-140,0,-3,-69,5,31,-19,-71,-2,-9,1,-1,0,1,0
2006,1,Regular,9/10/06,1:00 PM,FALSE,Bengals,Chiefs,-13,away,Bengals,6,6,0,0,1,2,3,4,13,0,53,10,16,56,6,47,-9,-3,0,0,0,-1,1,1,0
2006,1,Regular,9/10/06,4:15 PM,FALSE,Bears,Packers,-26,away,Bears,-4,-4,2,-2,-3,-3,1,2,-8,0,-94,-3,3,-88,2,16,-13,-6,1,20,0,-4,1,1,-1
2006,1,Regular,9/10/06,4:15 PM,FALSE,49ers,Cardinals,7,home,Cardinals,4,7,-1,-2,6,5,-1,-1,10,-1,-26,0,-3,-3,2,16,11,-23,3,23,2,2,-1,0,0
2006,1,Regular,9/10/06,4:15 PM,FALSE,Cowboys,Jaguars,7,home,Jaguars,8,5,2,1,-1,-2,-1,-1,10,0,-16,7,1,-6,-1,-3,10,-10,-7,-52,3,3,0,-2,0
